Created Date,Event Code,registration_count,cumulative_registrations,Event date,Target audience,Days until event,promotional_spike
2019-07-16,D19,125,125,2019-11-19,IT Managers,126,1
2019-07-30,D19,118,243,2019-11-19,IT Managers,112,1
2019-07-31,D19,19,262,2019-11-19,IT Managers,111,0
2019-08-01,D19,2,264,2019-11-19,IT Managers,110,0
2019-08-02,D19,1,265,2019-11-19,IT Managers,109,0
2019-08-05,D19,5,270,2019-11-19,IT Managers,106,0
2019-08-06,D19,2,272,2019-11-19,IT Managers,105,0
2019-08-07,D19,3,275,2019-11-19,IT Managers,104,0
2019-08-08,D19,5,280,2019-11-19,IT Managers,103,0
2019-08-09,D19,19,299,2019-11-19,IT Managers,102,0
2019-08-12,D19,4,303,2019-11-19,IT Managers,99,0
2019-08-14,D19,1,304,2019-11-19,IT Managers,97,0
2019-08-15,D19,6,310,2019-11-19,IT Managers,96,0
2019-08-16,D19,4,314,2019-11-19,IT Managers,95,0
2019-08-19,D19,3,317,2019-11-19,IT Managers,92,0
2019-08-21,D19,4,321,2019-11-19,IT Managers,90,0
2019-08-22,D19,1,322,2019-11-19,IT Managers,89,0
2019-08-28,D19,9,331,2019-11-19,IT Managers,83,0
2019-08-29,D19,2,333,2019-11-19,IT Managers,82,0
2019-09-02,D19,3,336,2019-11-19,IT Managers,78,0
2019-09-03,D19,9,345,2019-11-19,IT Managers,77,0
2019-09-04,D19,1,346,2019-11-19,IT Managers,76,0
2019-09-05,D19,9,355,2019-11-19,IT Managers,75,0
2019-09-06,D19,4,359,2019-11-19,IT Managers,74,0
2019-09-09,D19,3,362,2019-11-19,IT Managers,71,0
2019-09-10,D19,7,369,2019-11-19,IT Managers,70,0
2019-09-13,D19,6,375,2019-11-19,IT Managers,67,0
2019-09-18,D19,7,382,2019-11-19,IT Managers,62,0
2019-09-19,D19,5,387,2019-11-19,IT Managers,61,0
2019-09-20,D19,4,391,2019-11-19,IT Managers,60,0
2019-09-23,D19,8,399,2019-11-19,IT Managers,57,0
2019-09-24,D19,6,405,2019-11-19,IT Managers,56,0
2019-09-25,D19,7,412,2019-11-19,IT Managers,55,0
2019-09-26,D19,4,416,2019-11-19,IT Managers,54,0
2019-09-27,D19,6,422,2019-11-19,IT Managers,53,0
2019-09-30,D19,16,438,2019-11-19,IT Managers,50,0
2019-10-01,D19,14,452,2019-11-19,IT Managers,49,0
2019-10-02,D19,8,460,2019-11-19,IT Managers,48,0
2019-10-03,D19,11,471,2019-11-19,IT Managers,47,0
2019-10-04,D19,13,484,2019-11-19,IT Managers,46,0
2019-10-07,D19,7,491,2019-11-19,IT Managers,43,0
2019-10-08,D19,3,494,2019-11-19,IT Managers,42,0
2019-10-09,D19,14,508,2019-11-19,IT Managers,41,0
2019-10-10,D19,5,513,2019-11-19,IT Managers,40,0
2019-10-11,D19,6,519,2019-11-19,IT Managers,39,0
2019-10-14,D19,14,533,2019-11-19,IT Managers,36,0
2019-10-15,D19,14,547,2019-11-19,IT Managers,35,0
2019-10-16,D19,13,560,2019-11-19,IT Managers,34,0
2019-10-17,D19,5,565,2019-11-19,IT Managers,33,0
2019-10-18,D19,5,570,2019-11-19,IT Managers,32,0
2019-10-21,D19,27,597,2019-11-19,IT Managers,29,0
2019-10-22,D19,16,613,2019-11-19,IT Managers,28,0
2019-10-23,D19,22,635,2019-11-19,IT Managers,27,0
2019-10-24,D19,4,639,2019-11-19,IT Managers,26,0
2019-10-25,D19,34,673,2019-11-19,IT Managers,25,0
2019-10-28,D19,18,691,2019-11-19,IT Managers,22,0
2019-10-29,D19,16,707,2019-11-19,IT Managers,21,0
2019-10-30,D19,17,724,2019-11-19,IT Managers,20,0
2019-10-31,D19,16,740,2019-11-19,IT Managers,19,0
2019-11-01,D19,1,741,2019-11-19,IT Managers,18,0
2019-11-04,D19,12,753,2019-11-19,IT Managers,15,0
2019-11-05,D19,9,762,2019-11-19,IT Managers,14,0
2019-11-06,D19,50,812,2019-11-19,IT Managers,13,1
2019-11-07,D19,12,824,2019-11-19,IT Managers,12,0
2019-11-08,D19,50,874,2019-11-19,IT Managers,11,1
2019-11-11,D19,18,892,2019-11-19,IT Managers,8,0
2019-11-12,D19,79,971,2019-11-19,IT Managers,7,1
2019-11-13,D19,89,1060,2019-11-19,IT Managers,6,1
2019-11-14,D19,22,1082,2019-11-19,IT Managers,5,0
2019-11-15,D19,45,1127,2019-11-19,IT Managers,4,1
2019-11-18,D19,45,1172,2019-11-19,IT Managers,1,1
2020-02-06,GP21,2,2,2021-04-22,Property Managers,441,0
2020-09-02,NP21,1,1,2021-11-09,Property Managers,433,0
2020-09-10,NP21,53,54,2021-11-09,Property Managers,425,1
2020-09-11,NP21,12,66,2021-11-09,Property Managers,424,0
2020-09-12,NP21,1,67,2021-11-09,Property Managers,423,0
2020-09-14,NP21,6,73,2021-11-09,Property Managers,421,0
2020-09-15,NP21,2,75,2021-11-09,Property Managers,420,0
2020-09-16,NP21,6,81,2021-11-09,Property Managers,419,0
2020-09-17,NP21,34,115,2021-11-09,Property Managers,418,0
2020-09-18,NP21,3,118,2021-11-09,Property Managers,417,0
2020-09-20,NP21,1,119,2021-11-09,Property Managers,415,0
2020-09-21,NP21,8,127,2021-11-09,Property Managers,414,0
2020-09-22,NP21,4,131,2021-11-09,Property Managers,413,0
2020-09-24,NP21,1,132,2021-11-09,Property Managers,411,0
2020-09-25,NP21,2,134,2021-11-09,Property Managers,410,0
2020-09-28,NP21,1,135,2021-11-09,Property Managers,407,0
2020-10-07,NP21,1,136,2021-11-09,Property Managers,398,0
2020-10-12,NP21,1,137,2021-11-09,Property Managers,393,0
2020-10-14,NP21,1,138,2021-11-09,Property Managers,391,0
2020-10-21,GP21,72,74,2021-04-22,Property Managers,183,1
2020-10-22,GP21,15,89,2021-04-22,Property Managers,182,0
2020-10-23,GP21,4,93,2021-04-22,Property Managers,181,0
2020-10-24,NP21,1,139,2021-11-09,Property Managers,381,0
2020-10-26,GP21,3,96,2021-04-22,Property Managers,178,0
2020-10-28,GP21,6,102,2021-04-22,Property Managers,176,0
2020-11-02,D21,2,2,2021-12-09,IT Managers,402,0
2020-11-02,GP21,1,103,2021-04-22,Property Managers,171,0
2020-11-03,NP21,1,140,2021-11-09,Property Managers,371,0
2020-11-04,GP21,1,104,2021-04-22,Property Managers,169,0
2020-11-05,GP21,1,105,2021-04-22,Property Managers,168,0
2020-11-05,NP21,1,141,2021-11-09,Property Managers,369,0
2020-11-06,GP21,5,110,2021-04-22,Property Managers,167,0
2020-11-09,GP21,1,111,2021-04-22,Property Managers,164,0
2020-11-13,NP21,1,142,2021-11-09,Property Managers,361,0
2020-11-19,GP21,1,112,2021-04-22,Property Managers,154,0
2020-11-23,NP21,1,143,2021-11-09,Property Managers,351,0
2020-11-25,NP21,2,145,2021-11-09,Property Managers,349,0
2020-11-29,GP21,1,113,2021-04-22,Property Managers,144,0
2020-12-01,GP21,4,117,2021-04-22,Property Managers,142,0
2020-12-02,GP21,1,118,2021-04-22,Property Managers,141,0
2020-12-07,GP21,1,119,2021-04-22,Property Managers,136,0
2020-12-15,GP21,1,120,2021-04-22,Property Managers,128,0
2020-12-29,GP21,2,122,2021-04-22,Property Managers,114,0
2021-01-04,GP21,1,123,2021-04-22,Property Managers,108,0
2021-01-05,D21,1,3,2021-12-09,IT Managers,338,0
2021-01-14,GP21,12,135,2021-04-22,Property Managers,98,0
2021-01-15,GP21,2,137,2021-04-22,Property Managers,97,0
2021-01-18,GP21,2,139,2021-04-22,Property Managers,94,0
2021-01-19,GP21,2,141,2021-04-22,Property Managers,93,0
2021-01-19,MSE21,48,48,2021-03-24,Education property managers,64,1
2021-01-20,MSE21,13,61,2021-03-24,Education property managers,63,0
2021-01-21,GP21,1,142,2021-04-22,Property Managers,91,0
2021-01-21,MSE21,7,68,2021-03-24,Education property managers,62,0
2021-01-24,MSE21,1,69,2021-03-24,Education property managers,59,0
2021-01-25,GP21,1,143,2021-04-22,Property Managers,87,0
2021-01-25,MSE21,13,82,2021-03-24,Education property managers,58,0
2021-01-26,MSE21,42,124,2021-03-24,Education property managers,57,0
2021-01-27,MSE21,15,139,2021-03-24,Education property managers,56,0
2021-01-28,MSE21,5,144,2021-03-24,Education property managers,55,0
2021-01-29,D21,1,4,2021-12-09,IT Managers,314,0
2021-01-29,MSE21,1,145,2021-03-24,Education property managers,54,0
2021-01-30,GP21,1,144,2021-04-22,Property Managers,82,0
2021-02-01,GP21,6,150,2021-04-22,Property Managers,80,0
2021-02-01,MSE21,1,146,2021-03-24,Education property managers,51,0
2021-02-02,GP21,12,162,2021-04-22,Property Managers,79,0
2021-02-02,MSE21,2,148,2021-03-24,Education property managers,50,0
2021-02-03,GP21,3,165,2021-04-22,Property Managers,78,0
2021-02-03,MSE21,1,149,2021-03-24,Education property managers,49,0
2021-02-04,MSE21,2,151,2021-03-24,Education property managers,48,0
2021-02-05,MSE21,86,237,2021-03-24,Education property managers,47,1
2021-02-07,GP21,1,166,2021-04-22,Property Managers,74,0
2021-02-07,MSE21,1,238,2021-03-24,Education property managers,45,0
2021-02-08,GP21,1,167,2021-04-22,Property Managers,73,0
2021-02-08,MSE21,28,266,2021-03-24,Education property managers,44,0
2021-02-09,MSE21,14,280,2021-03-24,Education property managers,43,0
2021-02-10,MSE21,4,284,2021-03-24,Education property managers,42,0
2021-02-11,MSE21,3,287,2021-03-24,Education property managers,41,0
2021-02-12,MSE21,11,298,2021-03-24,Education property managers,40,0
2021-02-15,GP21,27,194,2021-04-22,Property Managers,66,0
2021-02-15,MSE21,5,303,2021-03-24,Education property managers,37,0
2021-02-16,GP21,8,202,2021-04-22,Property Managers,65,0
2021-02-16,MSE21,32,335,2021-03-24,Education property managers,36,0
2021-02-17,D21,1,5,2021-12-09,IT Managers,295,0
2021-02-17,GP21,5,207,2021-04-22,Property Managers,64,0
2021-02-17,MSE21,18,353,2021-03-24,Education property managers,35,0
2021-02-18,GP21,9,216,2021-04-22,Property Managers,63,0
2021-02-18,MSE21,135,488,2021-03-24,Education property managers,34,1
2021-02-18,NP21,1,146,2021-11-09,Property Managers,264,0
2021-02-19,GP21,3,219,2021-04-22,Property Managers,62,0
2021-02-19,MSE21,51,539,2021-03-24,Education property managers,33,1
2021-02-20,GP21,1,220,2021-04-22,Property Managers,61,0
2021-02-20,MSE21,4,543,2021-03-24,Education property managers,32,0
2021-02-21,MSE21,10,553,2021-03-24,Education property managers,31,0
2021-02-22,GP21,8,228,2021-04-22,Property Managers,59,0
2021-02-22,MSE21,117,670,2021-03-24,Education property managers,30,1
2021-02-22,NP21,1,147,2021-11-09,Property Managers,260,0
2021-02-23,GP21,1,229,2021-04-22,Property Managers,58,0
2021-02-23,MSE21,95,765,2021-03-24,Education property managers,29,1
2021-02-24,GP21,1,230,2021-04-22,Property Managers,57,0
2021-02-24,MSE21,62,827,2021-03-24,Education property managers,28,1
2021-02-24,NP21,1,148,2021-11-09,Property Managers,258,0
2021-02-25,MSE21,23,850,2021-03-24,Education property managers,27,0
2021-02-26,GP21,1,231,2021-04-22,Property Managers,55,0
2021-02-26,MSE21,19,869,2021-03-24,Education property managers,26,0
2021-02-27,MSE21,1,870,2021-03-24,Education property managers,25,0
2021-03-01,GP21,4,235,2021-04-22,Property Managers,52,0
2021-03-01,MSE21,17,887,2021-03-24,Education property managers,23,0
2021-03-02,GP21,58,293,2021-04-22,Property Managers,51,1
2021-03-02,MSE21,13,900,2021-03-24,Education property managers,22,0
2021-03-03,GP21,15,308,2021-04-22,Property Managers,50,0
2021-03-03,MSE21,94,994,2021-03-24,Education property managers,21,1
2021-03-04,GP21,20,328,2021-04-22,Property Managers,49,0
2021-03-04,MSE21,121,1115,2021-03-24,Education property managers,20,1
2021-03-05,GP21,25,353,2021-04-22,Property Managers,48,0
2021-03-05,MSE21,39,1154,2021-03-24,Education property managers,19,0
2021-03-06,MSE21,6,1160,2021-03-24,Education property managers,18,0
2021-03-07,MSE21,14,1174,2021-03-24,Education property managers,17,0
2021-03-08,GP21,8,361,2021-04-22,Property Managers,45,0
2021-03-08,MSE21,53,1227,2021-03-24,Education property managers,16,1
2021-03-09,GP21,24,385,2021-04-22,Property Managers,44,0
2021-03-09,MSE21,24,1251,2021-03-24,Education property managers,15,0
2021-03-10,GP21,43,428,2021-04-22,Property Managers,43,0
2021-03-10,MSE21,36,1287,2021-03-24,Education property managers,14,0
2021-03-11,GP21,9,437,2021-04-22,Property Managers,42,0
2021-03-11,MSE21,66,1353,2021-03-24,Education property managers,13,1
2021-03-12,GP21,7,444,2021-04-22,Property Managers,41,0
2021-03-12,MSE21,27,1380,2021-03-24,Education property managers,12,0
2021-03-13,GP21,1,445,2021-04-22,Property Managers,40,0
2021-03-13,MSE21,9,1389,2021-03-24,Education property managers,11,0
2021-03-14,MSE21,8,1397,2021-03-24,Education property managers,10,0
2021-03-15,GP21,6,451,2021-04-22,Property Managers,38,0
2021-03-15,MSE21,30,1427,2021-03-24,Education property managers,9,0
2021-03-16,GP21,4,455,2021-04-22,Property Managers,37,0
2021-03-16,MSE21,30,1457,2021-03-24,Education property managers,8,0
2021-03-17,GP21,6,461,2021-04-22,Property Managers,36,0
2021-03-17,MSE21,27,1484,2021-03-24,Education property managers,7,0
2021-03-18,D21,1,6,2021-12-09,IT Managers,266,0
2021-03-18,GP21,2,463,2021-04-22,Property Managers,35,0
2021-03-18,MSE21,17,1501,2021-03-24,Education property managers,6,0
2021-03-19,D21,1,7,2021-12-09,IT Managers,265,0
2021-03-19,GP21,7,470,2021-04-22,Property Managers,34,0
2021-03-19,MSE21,16,1517,2021-03-24,Education property managers,5,0
2021-03-21,GP21,1,471,2021-04-22,Property Managers,32,0
2021-03-22,GP21,7,478,2021-04-22,Property Managers,31,0
2021-03-22,MSE21,37,1554,2021-03-24,Education property managers,2,0
2021-03-23,GP21,15,493,2021-04-22,Property Managers,30,0
2021-03-23,MSE21,31,1585,2021-03-24,Education property managers,1,0
