BookingReference,Created Date,Reference,Attendee Status,Attended,Event Code
B925916,19/01/2021,A993794,Attending,,MSE21
B925922,19/01/2021,A993800,Attending,,MSE21
B925936,19/01/2021,A993814,Attending,,MSE21
B925937,19/01/2021,A993815,Attending,,MSE21
B925938,19/01/2021,A993816,Attending,,MSE21
B925938,19/01/2021,A993817,Attending,,MSE21
B925940,19/01/2021,A993819,Attending,,MSE21
B925949,19/01/2021,A993828,Attending,,MSE21
B925955,19/01/2021,A993834,Attending,,MSE21
B925955,19/01/2021,A993835,Attending,,MSE21
B925957,19/01/2021,A993837,Attending,,MSE21
B925958,19/01/2021,A993838,Attending,,MSE21
B925961,19/01/2021,A993841,Attending,,MSE21
B925962,19/01/2021,A993842,Attending,,MSE21
B925970,19/01/2021,A993850,Attending,,MSE21
B925972,19/01/2021,A993852,Attending,,MSE21
B925973,19/01/2021,A993853,Attending,,MSE21
B925975,19/01/2021,A993855,Attending,,MSE21
B925978,19/01/2021,A993858,Attending,,MSE21
B925978,19/01/2021,A993859,Attending,,MSE21
B925989,19/01/2021,A993870,Attending,,MSE21
B925990,19/01/2021,A993871,Attending,,MSE21
B925991,19/01/2021,A993872,Attending,,MSE21
B926000,19/01/2021,A993881,Attending,,MSE21
B926001,19/01/2021,A993882,Attending,,MSE21
B926005,19/01/2021,A993886,Attending,,MSE21
B926013,19/01/2021,A993894,Attending,,MSE21
B926023,19/01/2021,A993904,Attending,,MSE21
B926026,19/01/2021,A993907,Attending,,MSE21
B926027,19/01/2021,A993908,Attending,,MSE21
B926029,19/01/2021,A993910,Attending,,MSE21
B926031,19/01/2021,A993912,Attending,,MSE21
B926037,19/01/2021,A993918,Attending,,MSE21
B926039,19/01/2021,A993920,Attending,,MSE21
B926061,19/01/2021,A993942,Attending,,MSE21
B926073,19/01/2021,A993954,Attending,,MSE21
B926083,19/01/2021,A993965,Cancelled,,MSE21
B926083,19/01/2021,A993966,Attending,,MSE21
B926097,19/01/2021,A993980,Attending,,MSE21
B926110,19/01/2021,A993993,Attending,,MSE21
B926130,19/01/2021,A994014,Attending,,MSE21
B926131,19/01/2021,A994015,Attending,,MSE21
B926134,19/01/2021,A994018,Attending,,MSE21
B926135,19/01/2021,A994019,Attending,,MSE21
B926227,19/01/2021,A994111,Attending,,MSE21
B926244,19/01/2021,A994128,Attending,,MSE21
B926361,19/01/2021,A994245,Attending,,MSE21
B926381,19/01/2021,A994265,Attending,,MSE21
B926534,20/01/2021,A994418,Attending,,MSE21
B926535,20/01/2021,A994419,Attending,,MSE21
B926633,20/01/2021,A994518,Attending,,MSE21
B926633,20/01/2021,A994519,Attending,,MSE21
B926684,20/01/2021,A994570,Attending,,MSE21
B926698,20/01/2021,A994584,Attending,,MSE21
B926717,20/01/2021,A994603,Attending,,MSE21
B926775,20/01/2021,A994661,Attending,,MSE21
B926780,20/01/2021,A994666,Attending,,MSE21
B926895,20/01/2021,A994781,Attending,,MSE21
B926895,20/01/2021,A994782,Attending,,MSE21
B926901,20/01/2021,A994788,Attending,,MSE21
B926934,20/01/2021,A994821,Attending,,MSE21
B927248,21/01/2021,A995135,Attending,,MSE21
B927270,21/01/2021,A995157,Attending,,MSE21
B927291,21/01/2021,A995178,Attending,,MSE21
B927297,21/01/2021,A995184,Attending,,MSE21
B927351,21/01/2021,A995238,Attending,,MSE21
B927351,21/01/2021,A995239,Attending,,MSE21
B927421,21/01/2021,A995309,Attending,,MSE21
B929519,24/01/2021,A997407,Attending,,MSE21
B929791,25/01/2021,A997679,Attending,,MSE21
B929853,25/01/2021,A997741,Attending,,MSE21
B929870,25/01/2021,A997758,Attending,,MSE21
B929903,25/01/2021,A997791,Attending,,MSE21
B929984,25/01/2021,A997872,Attending,,MSE21
B930049,25/01/2021,A997939,Attending,,MSE21
B930061,25/01/2021,A997951,Attending,,MSE21
B930073,25/01/2021,A997963,Attending,,MSE21
B930097,25/01/2021,A997987,Attending,,MSE21
B930133,25/01/2021,A998023,Attending,,MSE21
B930377,25/01/2021,A998267,Attending,,MSE21
B930403,25/01/2021,A998293,Attending,,MSE21
B930403,25/01/2021,A998294,Attending,,MSE21
B930482,26/01/2021,A998373,Attending,,MSE21
B930543,26/01/2021,A998434,Attending,,MSE21
