BookingReference,Created Date,Reference,Attendee Status,Attended
B1230313,05/01/2024,A1304359,Attending,No
B1230313,05/01/2024,A1304360,Attending,No
B1234922,16/01/2024,A1308972,Attending,
B1234922,16/01/2024,A1308973,Attending,Yes
B1234922,16/01/2024,A1308974,Attending,Yes
B1243137,02/02/2024,A1317224,Attending,
B1243137,02/02/2024,A1317225,Attending,Yes
B1243137,02/02/2024,A1317226,Attending,Yes
B1247846,12/02/2024,A1321960,Attending,
B1247846,12/02/2024,A1321961,Attending,No
B1247846,12/02/2024,A1321962,Attending,
B1247846,12/02/2024,A1321963,Attending,Yes
B1262995,21/03/2024,A1337209,Attending,Yes
B1287627,26/06/2024,A1362030,Attending,Yes
B1289409,04/07/2024,A1363842,Attending,No
B1289410,04/07/2024,A1363843,Attending,No
B1289411,04/07/2024,A1363844,Attending,No
B1289413,04/07/2024,A1363846,Attending,No
B1289414,04/07/2024,A1363847,Cancelled,
B1289418,04/07/2024,A1363851,Attending,Yes
B1289421,04/07/2024,A1363854,Attending,No
B1289433,04/07/2024,A1363866,Cancelled,
B1289434,04/07/2024,A1363867,Attending,No
B1289499,05/07/2024,A1363932,Attending,No
B1289503,05/07/2024,A1363936,Attending,No
B1289505,05/07/2024,A1363938,Attending,No
B1289508,05/07/2024,A1363941,Cancelled,
B1289517,05/07/2024,A1363950,Attending,Yes
B1289527,05/07/2024,A1363962,Attending,Yes
B1289557,05/07/2024,A1363994,Attending,No
B1289560,05/07/2024,A1363998,Attending,Yes
B1289644,08/07/2024,A1364084,Cancelled,
B1289645,08/07/2024,A1364085,Attending,Yes
B1289655,08/07/2024,A1364096,Attending,No
B1289789,10/07/2024,A1364240,Cancelled,
B1289818,10/07/2024,A1364270,Attending,Yes
B1290220,15/07/2024,A1364686,Attending,Yes
B1290273,15/07/2024,A1364744,Attending,No
B1290441,17/07/2024,A1364924,Cancelled,
B1290466,17/07/2024,A1364949,Attending,Yes
B1290467,17/07/2024,A1364950,Attending,Yes
B1290468,17/07/2024,A1364951,Attending,Yes
B1290469,17/07/2024,A1364952,Attending,Yes
B1290470,17/07/2024,A1364953,Cancelled,
B1290471,17/07/2024,A1364954,Attending,Yes
B1290472,17/07/2024,A1364955,Cancelled,
B1290473,17/07/2024,A1364956,Attending,Yes
B1290552,18/07/2024,A1365043,Attending,Yes
B1290553,18/07/2024,A1365044,Cancelled,
B1290554,18/07/2024,A1365045,Attending,Yes
B1290556,18/07/2024,A1365047,Attending,Yes
B1290579,19/07/2024,A1365071,Cancelled,
B1290579,19/07/2024,A1365072,Cancelled,
B1290579,19/07/2024,A1365073,Cancelled,
B1290580,19/07/2024,A1365074,Attending,Yes
B1290582,19/07/2024,A1365076,Attending,No
B1290599,19/07/2024,A1365093,Attending,Yes
B1290602,19/07/2024,A1365096,Cancelled,
B1290609,19/07/2024,A1365104,Attending,No
B1290689,22/07/2024,A1365186,Attending,Yes
B1290694,22/07/2024,A1365191,Attending,No
B1290695,22/07/2024,A1365192,Cancelled,
B1290696,22/07/2024,A1365193,Attending,No
B1290697,22/07/2024,A1365194,Cancelled,
B1290697,22/07/2024,A1365195,Cancelled,
B1290699,22/07/2024,A1365197,Cancelled,
B1290706,22/07/2024,A1365207,Cancelled,
B1290734,22/07/2024,A1365235,Attending,No
B1290739,22/07/2024,A1365240,Attending,Yes
B1290764,23/07/2024,A1365265,Attending,Yes
B1290785,23/07/2024,A1365286,Attending,No
B1290808,24/07/2024,A1365309,Attending,Yes
B1290812,24/07/2024,A1365313,Attending,Yes
B1290813,24/07/2024,A1365314,Attending,Yes
B1290814,24/07/2024,A1365315,Attending,Yes
B1290851,25/07/2024,A1365355,Attending,No
B1290878,25/07/2024,A1365382,Attending,Yes
B1290923,26/07/2024,A1365428,Attending,Yes
B1290992,29/07/2024,A1365500,Cancelled,
B1291063,30/07/2024,A1365571,Cancelled,
B1291074,30/07/2024,A1365590,Cancelled,
B1291117,31/07/2024,A1365645,Attending,Yes
B1291127,01/08/2024,A1365655,Attending,Yes
B1291128,01/08/2024,A1365656,Attending,Yes
B1291262,04/08/2024,A1365794,Attending,Yes
B1291276,05/08/2024,A1365808,Attending,Yes
B1291362,07/08/2024,A1365896,Attending,Yes
B1291363,07/08/2024,A1365897,Attending,Yes
B1291364,07/08/2024,A1365898,Cancelled,
B1291365,07/08/2024,A1365899,Cancelled,
B1291366,07/08/2024,A1365900,Cancelled,
B1291367,07/08/2024,A1365901,Attending,Yes
B1291370,07/08/2024,A1365904,Cancelled,
B1291371,07/08/2024,A1365905,Cancelled,
B1291373,07/08/2024,A1365907,Cancelled,
B1291374,07/08/2024,A1365908,Attending,Yes
B1291376,07/08/2024,A1365910,Attending,Yes
B1291380,07/08/2024,A1365914,Attending,No
B1291381,07/08/2024,A1365915,Attending,Yes
B1291383,07/08/2024,A1365917,Attending,No
B1291391,07/08/2024,A1365925,Attending,Yes
B1291397,07/08/2024,A1365931,Attending,No
B1291398,07/08/2024,A1365932,Attending,No
B1291400,07/08/2024,A1365934,Attending,Yes
B1291401,07/08/2024,A1365935,Attending,Yes
B1291412,07/08/2024,A1365946,Attending,Yes
B1291442,08/08/2024,A1365979,Cancelled,
B1291450,08/08/2024,A1365987,Attending,No
B1291558,09/08/2024,A1366099,Attending,Yes
B1291565,09/08/2024,A1366106,Cancelled,
B1291575,09/08/2024,A1366116,Attending,No
B1291625,09/08/2024,A1366166,Attending,Yes
B1291628,09/08/2024,A1366170,Attending,Yes
B1291741,12/08/2024,A1366284,Attending,No
B1291779,13/08/2024,A1366322,Cancelled,
B1291822,13/08/2024,A1366371,Attending,No
B1291823,13/08/2024,A1366372,Attending,Yes
B1291828,13/08/2024,A1366380,Attending,No
B1291832,13/08/2024,A1366384,Attending,No
B1291979,15/08/2024,A1366540,Attending,Yes
B1291980,15/08/2024,A1366541,Attending,Yes
B1291994,15/08/2024,A1366555,Attending,Yes
B1291998,15/08/2024,A1366559,Attending,Yes
B1291999,15/08/2024,A1366560,Attending,Yes
B1292001,15/08/2024,A1366562,Cancelled,
B1292020,15/08/2024,A1366581,Attending,No
B1292031,15/08/2024,A1366596,Attending,No
B1292035,15/08/2024,A1366600,Cancelled,
B1292070,16/08/2024,A1366635,Attending,No
B1292071,16/08/2024,A1366636,Attending,Yes
B1292078,16/08/2024,A1366643,Cancelled,
B1292169,19/08/2024,A1366737,Attending,No
B1292172,19/08/2024,A1366740,Attending,Yes
B1292172,19/08/2024,A1366741,Attending,Yes
B1292201,19/08/2024,A1366770,Attending,Yes
B1292229,19/08/2024,A1366798,Attending,Yes
B1292242,19/08/2024,A1366811,Cancelled,
B1292328,20/08/2024,A1366898,Attending,No
B1292337,20/08/2024,A1366907,Attending,Yes
B1292364,20/08/2024,A1366934,Attending,Yes
B1292378,20/08/2024,A1366948,Attending,Yes
B1292379,20/08/2024,A1366949,Attending,Yes
B1292408,20/08/2024,A1366978,Attending,Yes
B1292449,21/08/2024,A1367019,Attending,Yes
B1292455,21/08/2024,A1367025,Cancelled,
B1292458,21/08/2024,A1367028,Attending,Yes
B1292459,21/08/2024,A1367029,Attending,Yes
B1292492,21/08/2024,A1367064,Attending,Yes
B1292493,21/08/2024,A1367065,Attending,Yes
B1292499,21/08/2024,A1367071,Attending,Yes
B1292508,21/08/2024,A1367080,Attending,Yes
B1292509,21/08/2024,A1367081,Attending,Yes
B1292517,21/08/2024,A1367089,Attending,No
B1292545,22/08/2024,A1367117,Attending,Yes
B1292595,22/08/2024,A1367167,Attending,Yes
B1292597,22/08/2024,A1367169,Attending,Yes
B1292598,22/08/2024,A1367170,Attending,Yes
B1292600,22/08/2024,A1367172,Attending,Yes
B1292602,22/08/2024,A1367174,Attending,Yes
B1292603,22/08/2024,A1367175,Attending,Yes
B1292604,22/08/2024,A1367176,Cancelled,
B1292609,22/08/2024,A1367181,Attending,Yes
B1292684,23/08/2024,A1367257,Attending,Yes
B1292689,23/08/2024,A1367262,Attending,Yes
B1292943,27/08/2024,A1367519,Attending,No
B1292948,27/08/2024,A1367524,Attending,Yes
B1292958,27/08/2024,A1367534,Cancelled,
B1292959,27/08/2024,A1367535,Attending,No
B1292960,27/08/2024,A1367536,Cancelled,
B1292963,27/08/2024,A1367539,Cancelled,
B1292972,27/08/2024,A1367548,Attending,Yes
B1292973,27/08/2024,A1367549,Attending,Yes
B1292973,27/08/2024,A1367550,Attending,Yes
B1292987,27/08/2024,A1367564,Attending,Yes
B1293068,28/08/2024,A1367645,Attending,Yes
B1293069,28/08/2024,A1367646,Attending,Yes
B1293070,28/08/2024,A1367647,Attending,Yes
B1293160,29/08/2024,A1367742,Attending,Yes
B1293164,29/08/2024,A1367746,Attending,No
B1293173,29/08/2024,A1367757,Attending,No
B1293178,29/08/2024,A1367762,Attending,Yes
B1293179,29/08/2024,A1367763,Attending,Yes
B1293180,29/08/2024,A1367764,Attending,Yes
B1293184,29/08/2024,A1367768,Attending,Yes
B1293318,30/08/2024,A1367903,Attending,Yes
B1293468,02/09/2024,A1368061,Attending,No
B1293507,02/09/2024,A1368102,Cancelled,
B1293510,02/09/2024,A1368105,Attending,Yes
