BookingReference,Created Date,Reference,Attendee Status,Attended
B1267663,15/04/2024,A1341916,Attending,
B1267680,15/04/2024,A1341933,Attending,
B1267725,15/04/2024,A1341978,Attending,Yes
B1267726,15/04/2024,A1341979,Attending,
B1267733,15/04/2024,A1341986,Cancelled,
B1267771,15/04/2024,A1342024,Attending,Yes
B1267879,15/04/2024,A1342132,Cancelled,
B1269034,17/04/2024,A1343298,Cancelled,
B1269069,17/04/2024,A1343333,Attending,Yes
B1269480,18/04/2024,A1343744,Attending,Yes
B1269673,18/04/2024,A1343937,Attending,Yes
B1269674,18/04/2024,A1343938,Attending,Yes
B1269675,18/04/2024,A1343939,Attending,Yes
B1269677,18/04/2024,A1343941,Attending,Yes
B1269709,18/04/2024,A1343973,Attending,Yes
B1269962,18/04/2024,A1344226,Cancelled,
B1270539,20/04/2024,A1344803,Attending,Yes
B1271896,24/04/2024,A1346164,Attending,Yes
B1271897,24/04/2024,A1346165,Attending,Yes
B1272262,25/04/2024,A1346535,Attending,Yes
B1272448,25/04/2024,A1346723,Attending,No
B1272449,25/04/2024,A1346724,Cancelled,
B1272450,25/04/2024,A1346725,Attending,Yes
B1272451,25/04/2024,A1346726,Attending,Yes
B1272452,25/04/2024,A1346727,Attending,Yes
B1272453,25/04/2024,A1346728,Attending,Yes
B1272454,25/04/2024,A1346729,Attending,Yes
B1272456,25/04/2024,A1346731,Cancelled,
B1272461,25/04/2024,A1346736,Attending,Yes
B1272466,25/04/2024,A1346741,Cancelled,
B1272469,25/04/2024,A1346744,Attending,Yes
B1272472,25/04/2024,A1346747,Cancelled,
B1272481,25/04/2024,A1346756,Cancelled,
B1272485,25/04/2024,A1346760,Cancelled,
B1272488,25/04/2024,A1346763,Attending,Yes
B1272490,25/04/2024,A1346765,Attending,Yes
B1272492,25/04/2024,A1346767,Attending,Yes
B1272497,25/04/2024,A1346772,Cancelled,
B1272503,25/04/2024,A1346778,Cancelled,
B1272506,25/04/2024,A1346781,Attending,Yes
B1272508,25/04/2024,A1346783,Cancelled,
B1272510,25/04/2024,A1346785,Attending,Yes
B1272516,25/04/2024,A1346791,Attending,Yes
B1272517,25/04/2024,A1346792,Attending,Yes
B1272519,25/04/2024,A1346794,Attending,Yes
B1272523,25/04/2024,A1346798,Attending,Yes
B1272528,25/04/2024,A1346803,Cancelled,
B1272534,25/04/2024,A1346809,Attending,Yes
B1272540,25/04/2024,A1346815,Attending,Yes
B1272569,25/04/2024,A1346844,Attending,Yes
B1272576,25/04/2024,A1346851,Attending,Yes
B1272581,25/04/2024,A1346856,Attending,Yes
B1272583,25/04/2024,A1346858,Attending,Yes
B1272587,25/04/2024,A1346862,Attending,Yes
B1272602,25/04/2024,A1346877,Cancelled,
B1272606,26/04/2024,A1346881,Attending,No
B1272633,26/04/2024,A1346908,Attending,Yes
B1272648,26/04/2024,A1346923,Cancelled,
B1272651,26/04/2024,A1346926,Attending,Yes
B1272652,26/04/2024,A1346927,Cancelled,
B1272654,26/04/2024,A1346929,Cancelled,
B1272663,26/04/2024,A1346938,Cancelled,
B1272699,26/04/2024,A1346974,Cancelled,
B1272705,26/04/2024,A1346980,Attending,Yes
B1272715,26/04/2024,A1346990,Cancelled,
B1272717,26/04/2024,A1346992,Attending,Yes
B1272726,26/04/2024,A1347001,Attending,Yes
B1272728,26/04/2024,A1347003,Attending,Yes
B1272736,26/04/2024,A1347011,Attending,Yes
B1272750,26/04/2024,A1347025,Attending,Yes
B1272759,26/04/2024,A1347034,Attending,Yes
B1272770,26/04/2024,A1347045,Cancelled,
B1272790,26/04/2024,A1347065,Attending,Yes
B1272814,26/04/2024,A1347089,Attending,Yes
B1272850,26/04/2024,A1347125,Attending,Yes
B1272912,26/04/2024,A1347187,Attending,Yes
B1272972,26/04/2024,A1347247,Cancelled,
B1273009,26/04/2024,A1347284,Attending,Yes
B1273032,26/04/2024,A1347307,Attending,Yes
B1273576,29/04/2024,A1347852,Attending,Yes
B1273620,29/04/2024,A1347896,Cancelled,
B1273760,29/04/2024,A1348037,Attending,Yes
B1273857,29/04/2024,A1348134,Attending,Yes
B1273880,29/04/2024,A1348157,Cancelled,
B1273998,29/04/2024,A1348277,Cancelled,
B1274131,30/04/2024,A1348410,Cancelled,
B1274276,30/04/2024,A1348555,Cancelled,
B1274379,30/04/2024,A1348658,Attending,Yes
B1274424,30/04/2024,A1348704,Cancelled,
B1275334,03/05/2024,A1349614,Attending,No
B1275393,03/05/2024,A1349674,Attending,Yes
B1275430,03/05/2024,A1349711,Attending,Yes
B1275588,03/05/2024,A1349869,Attending,Yes
B1276296,07/05/2024,A1350584,Attending,Yes
B1276299,07/05/2024,A1350587,Attending,Yes
B1276365,07/05/2024,A1350654,Attending,No
B1276794,08/05/2024,A1351086,Cancelled,
B1276795,08/05/2024,A1351087,Cancelled,
B1276812,08/05/2024,A1351104,Attending,Yes
B1276849,08/05/2024,A1351141,Attending,Yes
B1277247,09/05/2024,A1351539,Attending,Yes
B1277517,10/05/2024,A1351811,Attending,No
B1277530,10/05/2024,A1351824,Attending,Yes
B1277533,10/05/2024,A1351827,Attending,Yes
B1278976,14/05/2024,A1353272,Attending,Yes
B1279833,16/05/2024,A1354132,Attending,Yes
B1280591,20/05/2024,A1354891,Attending,Yes
B1280593,20/05/2024,A1354893,Attending,Yes
B1280593,20/05/2024,A1354894,Attending,Yes
B1280593,20/05/2024,A1354895,Attending,Yes
B1280787,20/05/2024,A1355090,Cancelled,
B1283488,03/06/2024,A1357803,Attending,Yes
B1283529,03/06/2024,A1357844,Attending,No
B1283710,04/06/2024,A1358034,Cancelled,
B1285342,11/06/2024,A1359693,Attending,Yes
B1286030,14/06/2024,A1360393,Attending,Yes
