BookingReference,Created Date,Reference,Attendee Status,Attended
B1272405,25/04/2024,A1346678,Cancelled,
B1272405,25/04/2024,A1346679,Cancelled,
B1272405,25/04/2024,A1346680,Cancelled,
B1274569,01/05/2024,A1348849,Attending,Yes
B1276853,08/05/2024,A1351145,Cancelled,
B1276855,08/05/2024,A1351147,Cancelled,
B1276857,08/05/2024,A1351149,Attending,Yes
B1276859,08/05/2024,A1351151,Attending,Yes
B1276860,08/05/2024,A1351152,Attending,Yes
B1276861,08/05/2024,A1351153,Attending,Yes
B1276862,08/05/2024,A1351154,Attending,No
B1276864,08/05/2024,A1351156,Cancelled,
B1276866,08/05/2024,A1351158,Cancelled,
B1276867,08/05/2024,A1351159,Attending,Yes
B1276869,08/05/2024,A1351161,Attending,Yes
B1276871,08/05/2024,A1351163,Cancelled,
B1276872,08/05/2024,A1351164,Attending,No
B1276873,08/05/2024,A1351165,Attending,Yes
B1276877,08/05/2024,A1351169,Attending,Yes
B1276924,08/05/2024,A1351216,Cancelled,
B1276925,08/05/2024,A1351217,Attending,Yes
B1276926,08/05/2024,A1351218,Cancelled,
B1277168,09/05/2024,A1351460,Cancelled,
B1277169,09/05/2024,A1351461,Attending,Yes
B1277170,09/05/2024,A1351462,Cancelled,
B1277205,09/05/2024,A1351497,Cancelled,
B1277210,09/05/2024,A1351502,Attending,Yes
B1277242,09/05/2024,A1351534,Cancelled,
B1277305,09/05/2024,A1351597,Attending,No
B1277526,10/05/2024,A1351820,Cancelled,
B1277611,10/05/2024,A1351905,Cancelled,
B1277672,10/05/2024,A1351966,Attending,Yes
B1277754,10/05/2024,A1352048,Attending,Yes
B1278269,13/05/2024,A1352564,Attending,No
B1278270,13/05/2024,A1352565,Attending,Yes
B1278272,13/05/2024,A1352567,Attending,No
B1278359,13/05/2024,A1352654,Attending,Yes
B1278695,14/05/2024,A1352991,Attending,Yes
B1278704,14/05/2024,A1353000,Attending,Yes
B1279248,15/05/2024,A1353544,Cancelled,
B1279249,15/05/2024,A1353545,Attending,Yes
B1279316,15/05/2024,A1353612,Attending,Yes
B1280568,20/05/2024,A1354868,Attending,Yes
B1284017,05/06/2024,A1358358,Cancelled,
B1285515,12/06/2024,A1359875,Attending,Yes
B1287436,25/06/2024,A1361831,Attending,Yes
B1290502,18/07/2024,A1364988,Attending,Yes
B1290503,18/07/2024,A1364989,Attending,Yes
B1290536,18/07/2024,A1365024,Cancelled,
B1290538,18/07/2024,A1365026,Attending,Yes
B1290538,18/07/2024,A1365027,Attending,Yes
B1291053,30/07/2024,A1365561,Attending,Yes
B1291170,02/08/2024,A1365700,Attending,Yes
B1292248,19/08/2024,A1366817,Attending,Yes
B1292340,20/08/2024,A1366910,Attending,Yes
B1292341,20/08/2024,A1366911,Cancelled,
B1292343,20/08/2024,A1366913,Attending,No
B1292347,20/08/2024,A1366917,Attending,Yes
B1292348,20/08/2024,A1366918,Attending,Yes
B1292352,20/08/2024,A1366922,Cancelled,
B1292353,20/08/2024,A1366923,Cancelled,
B1292355,20/08/2024,A1366925,Cancelled,
B1292356,20/08/2024,A1366926,Attending,No
B1292358,20/08/2024,A1366928,Attending,Yes
B1292362,20/08/2024,A1366932,Attending,Yes
B1292380,20/08/2024,A1366950,Cancelled,
B1292392,20/08/2024,A1366962,Attending,Yes
B1292395,20/08/2024,A1366965,Attending,Yes
B1292406,20/08/2024,A1366976,Attending,Yes
B1292407,20/08/2024,A1366977,Attending,Yes
B1292410,20/08/2024,A1366980,Attending,Yes
B1292446,21/08/2024,A1367016,Attending,Yes
B1292447,21/08/2024,A1367017,Attending,Yes
B1292453,21/08/2024,A1367023,Attending,Yes
B1292454,21/08/2024,A1367024,Attending,No
B1292460,21/08/2024,A1367030,Cancelled,
B1292461,21/08/2024,A1367031,Cancelled,
B1292463,21/08/2024,A1367033,Cancelled,
B1292474,21/08/2024,A1367046,Cancelled,
B1292498,21/08/2024,A1367070,Attending,Yes
B1292537,22/08/2024,A1367109,Attending,No
B1292541,22/08/2024,A1367113,Cancelled,
B1292549,22/08/2024,A1367121,Attending,Yes
B1292550,22/08/2024,A1367122,Attending,Yes
B1292685,23/08/2024,A1367258,Cancelled,
B1292690,23/08/2024,A1367263,Cancelled,
B1292983,27/08/2024,A1367560,Attending,Yes
B1292989,27/08/2024,A1367566,Attending,Yes
B1293049,28/08/2024,A1367626,Cancelled,
B1293249,30/08/2024,A1367834,Attending,Yes
B1293324,30/08/2024,A1367909,Attending,Yes
B1293463,02/09/2024,A1368056,Attending,Yes
B1293545,03/09/2024,A1368140,Attending,Yes
B1294372,10/09/2024,A1369019,Attending,Yes
B1294374,10/09/2024,A1369021,Attending,Yes
B1294429,10/09/2024,A1369078,Attending,Yes
B1294505,10/09/2024,A1369154,Cancelled,
B1295780,17/09/2024,A1370449,Attending,Yes
B1296232,19/09/2024,A1370908,Attending,Yes
B1296235,19/09/2024,A1370911,Attending,Yes
B1296255,19/09/2024,A1370933,Attending,Yes
B1296256,19/09/2024,A1370934,Attending,Yes
B1296272,19/09/2024,A1370950,Attending,Yes
B1296332,19/09/2024,A1371010,Attending,Yes
B1296348,19/09/2024,A1371026,Attending,Yes
B1296366,19/09/2024,A1371044,Attending,Yes
B1296898,23/09/2024,A1371580,Attending,Yes
B1297229,23/09/2024,A1371911,Attending,Yes
B1297277,23/09/2024,A1371959,Attending,Yes
B1298917,25/09/2024,A1373610,Cancelled,
B1299564,26/09/2024,A1374262,Attending,Yes
B1299638,26/09/2024,A1374336,Cancelled,
B1299656,26/09/2024,A1374354,Cancelled,
B1299675,26/09/2024,A1374373,Cancelled,
B1299711,26/09/2024,A1374409,Cancelled,
B1299716,26/09/2024,A1374414,Cancelled,
B1299723,26/09/2024,A1374421,Cancelled,
B1299744,26/09/2024,A1374442,Attending,Yes
B1299752,26/09/2024,A1374450,Cancelled,
B1299786,26/09/2024,A1374484,Attending,Yes
B1299795,26/09/2024,A1374493,Attending,Yes
B1299963,27/09/2024,A1374661,Attending,Yes
B1300014,27/09/2024,A1374712,Attending,Yes
B1300031,27/09/2024,A1374729,Cancelled,
B1300046,27/09/2024,A1374744,Cancelled,
B1300145,27/09/2024,A1374843,Cancelled,
B1300150,27/09/2024,A1374848,Attending,Yes
B1300218,27/09/2024,A1374916,Cancelled,
B1300413,28/09/2024,A1375112,Cancelled,
B1300446,28/09/2024,A1375145,Cancelled,
B1300835,30/09/2024,A1375537,Attending,Yes
B1300926,30/09/2024,A1375629,Attending,Yes
B1300994,30/09/2024,A1375697,Attending,Yes
B1301059,30/09/2024,A1375762,Cancelled,
B1301354,01/10/2024,A1376059,Attending,Yes
B1301368,01/10/2024,A1376073,Attending,Yes
B1301410,01/10/2024,A1376115,Attending,No
B1301417,01/10/2024,A1376122,Cancelled,
B1301428,01/10/2024,A1376133,Attending,Yes
B1301437,01/10/2024,A1376142,Cancelled,
B1301504,01/10/2024,A1376209,Cancelled,
B1301510,01/10/2024,A1376215,Cancelled,
B1301522,01/10/2024,A1376227,Attending,No
B1301533,01/10/2024,A1376238,Attending,Yes
B1301575,01/10/2024,A1376280,Attending,Yes
B1301590,01/10/2024,A1376295,Attending,Yes
B1301598,01/10/2024,A1376303,Attending,Yes
B1301615,01/10/2024,A1376320,Attending,Yes
B1301621,01/10/2024,A1376326,Attending,Yes
B1301658,01/10/2024,A1376363,Attending,Yes
B1301823,01/10/2024,A1376528,Attending,Yes
B1301860,01/10/2024,A1376565,Cancelled,
B1301974,02/10/2024,A1376679,Cancelled,
B1301984,02/10/2024,A1376689,Cancelled,
B1302059,02/10/2024,A1376764,Cancelled,
B1302099,02/10/2024,A1376804,Cancelled,
B1302174,02/10/2024,A1376879,Cancelled,
B1302177,02/10/2024,A1376882,Attending,Yes
B1302183,02/10/2024,A1376888,Attending,Yes
B1302195,02/10/2024,A1376900,Attending,Yes
B1302199,02/10/2024,A1376904,Attending,Yes
B1302680,03/10/2024,A1377385,Attending,Yes
B1302747,03/10/2024,A1377452,Attending,Yes
B1302762,03/10/2024,A1377467,Attending,Yes
B1302823,03/10/2024,A1377528,Cancelled,
B1302919,03/10/2024,A1377624,Attending,Yes
B1302950,03/10/2024,A1377655,Cancelled,
B1302973,03/10/2024,A1377678,Attending,Yes
B1303060,04/10/2024,A1377765,Attending,Yes
B1303078,04/10/2024,A1377783,Attending,Yes
